### SHEET: Weapons ###,,,,,,,,,,
ID,Name,Type,Tier,BaseDamage,AttackRate,Range,ProjectileSpeed,Status,,
WPN001,Pistol,Gun,Common,8,2,12,18,Built,,
WPN002,Baseball_Bat,Melee,Common,12,1,4,-,Built,,
WPN003,M4A1,Gun,Rare,25,0.5,10,12,TODO,,
WPN004,Bucky,Gun,Rare,10,0.7,3,-,TODO,,
WPN005,AK47,Gun,Rare,6,1.5,8,16,TODO,,
WPN006,Judge,Gun,Common,4,4,6,20,Acid Soak (DoT),TODO,
WPN007,Barret,Gun,Epic,50,0.3,15,8,TODO,,
WPN008,Knife,Melee,Epic,18,1.2,5,-,TODO,,
,,,,,,,,,,
### SHEET: Perks ###,,,,,,,,,,
ID,Name,Tier,Effect,Stacks,Requires Weapon,Description,Status,,,
PRK001,Quick Hands,Common,+15% AttackRate (all weapons),3,-,Speed up all attacks.,TODO,,,
PRK002,Sharp Edges,Common,+10% Damage (all weapons),3,-,Hit harder.,TODO,,,
PRK003,Eagle Eye,Common,+20% Range (all weapons),2,-,See farther; hit farther.,TODO,,,
PRK004,Vitality,Common,+25 Max HP,3,-,Tougher shopper.,TODO,,,
PRK005,Vacuum,Common,+30% Pickup Radius,2,-,Suck in orbs from farther.,TODO,,,
PRK006,Roller Skates,Common,+10% Move Speed,3,-,Outrun the produce.,TODO,,,
PRK007,Scholar,Rare,+15% Exp Gain,2,-,Level up faster.,TODO,,,
PRK008,Lucky Stars,Rare,+5% Crit Chance,3,-,Random big hits.,TODO,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRK012,Iron Stomach,Legendary,Heal 1 HP per kill,1,-,Lifesteal-lite.,TODO,,,
,,,,,,,,,,
### SHEET: Enemies ###,,,,,,,,,,
ID,Name,Tier,HP,Damage,MoveSpeed,MovementStrategy,AttackStrategy,BiomeRestriction,Description,Status
ENM001,Banana Roller,Trash,15,5,3.5,Chaser,StandardMelee,All,Yellow banana that rolls toward player.,Built (refit)
ENM002,Strawberry Spitter,Trash,10,6,2,Ranged,BounceShoot,All,Stays at distance and lobs seeds.,Built (refit)
ENM003,Pineapple Charger,Elite,50,12,4,Chaser,SpinLunge,All,Spins up then lunges in a straight line.,Built (refit)
ENM004,Watermelon Smasher,Elite,80,18,2.5,Chaser,JumpLand,All,Leaps high; lands with AoE damage.,Built (refit)
ENM005,Apple Bouncer,Trash,20,8,3,Zigzag,StandardMelee,All,Zigzags toward player; hard to predict.,TODO
ENM006,Lemon Sniper,Trash,12,10,1.5,Ranged,BounceShoot,All,Long-range slow shot. Telegraphed.,TODO
ENM007,Apricot Swarmer,Trash,5,3,5,Chaser,StandardMelee,All,Spawns in packs of 8. Glass cannon.,TODO
ENM008,Grape Cluster,Elite,40,7,2,Chaser,StandardMelee,Produce Aisle,Splits into 4 smaller Grapes on death.,TODO
ENM009,Frozen Berry,Trash,18,9,2.8,Chaser,StandardMelee,Freezer,Slows player on hit.,TODO
ENM010,Conveyor Coconut,Elite,60,14,1,Chaser,SpinLunge,Loading Dock,Tank on the conveyor belt.,TODO
ENM011,Mango Bomber,Trash,25,15,3,Chaser,JumpLand,All,Suicide rush; explodes on contact.,TODO
ENM012,Kiwi Trickster,Elite,45,11,3.5,Zigzag,BounceShoot,Loading Dock,Fast zigzag with ranged hits.,TODO
,,,,,,,,,,
### SHEET: Bosses ###,,,,,,,,,,
ID,Name,Biome,HP,Phase1Mechanic,Phase2Mechanic,Phase3Mechanic,RewardSeeds,RewardStamps,Status,
BOS001,Watermelon King,Produce Aisle,1500,Slam (AoE telegraph),Roll (cross-arena),Summon Watermelon Smashers,150,1,TODO,
BOS002,Pineapple Don,Freezer,2200,Spin Lunge x3,Grenade rain,Spike phase (immobile + projectile burst),250,1,TODO,
BOS003,Coconut Champ,Loading Dock,3000,Slow heavy slam,Conveyor manipulation (shifts arena),Husk armor (DR until broken),400,2,TODO,
,,,,,,,,,,
### SHEET: Characters ###,,,,,,,,,,
ID,Name,Tier,Starting Weapon,Passive,StartingHP,StartingMoveSpeed,UnlockCondition,Status,,
CHR001,The Shopper,Starter,Apple Slingshot,None,100,5,Default unlock,TODO,,
CHR002,The Stockboy,Unlockable,Banana Boomerang,+15% Move Speed; -10% HP,90,5.75,Survive 5 min in Produce Aisle,TODO,,
CHR003,The Butcher,Unlockable,Watermelon Hammer,+25% Melee Damage; -20% Range,120,4.5,Kill 1000 enemies total,TODO,,
CHR004,The Cashier,Unlockable,Citrus Spritz,+20% Exp Gain; -10% Damage,90,5,Reach Level 25 in any run,TODO,,
,,,,,,,,,,
### SHEET: Biomes ###,,,,,,,,,,
ID,Name,Tier,EnemyPool,MidBoss,FinalBoss,Hazard,Music,UnlockCondition,Status,
BIO001,Produce Aisle,Starter,"ENM001, ENM002, ENM005, ENM006, ENM007, ENM008",ENM003,BOS001,None (tutorial),Bossa Nova,Default unlock,TODO,
BIO002,Backroom Freezer,Mid,"ENM001, ENM004, ENM009, ENM011",ENM004,BOS002,Slippery floor (reduced friction),Chillwave,Beat BOS001,TODO,
BIO003,Loading Dock,Late,"ENM003, ENM010, ENM011, ENM012",ENM010,BOS003,Conveyor lanes (forced movement),Industrial Funk,Beat BOS002,TODO,
,,,,,,,,,,
### SHEET: Currency / Economy ###,,,,,,,,,,
Source,Currency,Amount,Notes,,,,,,,
Enemy kill (trash),Seeds,1,Base drop,,,,,,,
Enemy kill (elite),Seeds,5,Base drop,,,,,,,
Boss kill,Seeds,RewardSeeds (see Bosses sheet),Per boss,,,,,,,
Boss kill,Stamps,RewardStamps (see Bosses sheet),Per boss,,,,,,,
Full clear (kill all 3 bosses in one run),Stamps,3,Bonus,,,,,,,
Daily Challenge completion,Stamps,1,Once per day per challenge,,,,,,,
Meta Shop - Perk upgrade tier N,Seeds,50 * 1.6^N,Diminishing returns,,,,,,,
Meta Shop - Weapon unlock,Stamps,2,Per weapon,,,,,,,
Meta Shop - Character unlock,Stamps,5,Per character,,,,,,,
Meta Shop - Biome unlock,Stamps,10,Per biome (also requires beat-previous-boss gate),,,,,,,
,,,,,,,,,,
### SHEET: Difficulty Scaling ###,,,,,,,,,,
RunTimeMinutes,EnemyHP_Multiplier,EnemyDamage_Multiplier,SpawnRate_Multiplier,Notes,,,,,,
0,1,1,1,Tutorial pace,,,,,,
2,1.2,1.1,1.3,,,,,,,
5,1.6,1.3,1.8,First boss spawns,,,,,,
8,2.2,1.5,2.4,,,,,,,
10,3,1.8,3,Second boss spawns,,,,,,
13,4,2.2,3.8,,,,,,,
15,5.5,2.6,4.5,Third boss spawns,,,,,,
18,7.5,3,5.5,,,,,,,
20,10,3.5,6.5,Hard cap reached,,,,,,
